gene	CD45RA+Cyt-	CSF+	IFN+	IL17A+	IL17A+GMCSF+INF-
CYB561D1	257.772442812023	382.169873379517	367.296155780044	311.281308686792	386.6884299465
ZDHHC24	36.7682206046871	27.3950970370589	32.7442998194924	26.9933356210284	28.4274070773718
RP11-23P13.6	53.8185379027906	161.488655191014	125.832938257382	132.553606194205	172.737331630286
TRMT10C	1050.71926781891	1296.58601127825	1295.651831735	1302.82812372546	1498.92599803289
SELP	57.3581541107143	18.5721725311667	20.7354682930391	19.585968979453	5.55636970660282
CTU2	1232.37913151798	540.732428434113	625.900988054777	810.055765906298	718.139300319282
AGAP8	31.7156694418041	18.0775393016235	20.331512135029	24.9137156858257	16.959006462272
MGA	2620.26212561036	1979.82891729947	1923.07130468734	2012.41502035092	1613.47847646503
C12orf66	76.3673980741759	49.5901285187314	52.6087071079164	61.3034636525387	55.5247751113384
PIGG	862.545924689662	708.963865826786	689.640667815731	642.517135905833	631.51227818897
PRPF8	9106.33774870871	7569.53563980644	7107.44169468131	7142.5057258195	6800.06633317948
PITPNA	844.609699805794	1199.06668841981	1025.95227314893	1010.22269717214	1133.257819148
DDX23	1022.8143299819	992.287240676244	953.055603514491	931.468886924273	865.859547317485
ZNF80	73.3679236500131	110.623744442648	122.132364075528	104.86861110248	59.1323891349191
ZNHIT2	94.0437714968868	54.4726955614445	70.4556201955572	62.4386964999793	53.8001529113492
ZBTB4	387.658277752116	250.303807501507	250.390851876904	235.887773669938	225.365815121832
TNK1	140.855403438111	45.94756674553	44.1745913314229	71.9987126002173	41.8445633754938
ZHX3	56.5817446991	36.8892317974588	39.0370339593984	29.1261073122244	42.8189412170049
SLC16A11	9.66958789600645	3.44733171724249	2.98179054621472	1.48404904590856	0.48718892075553
SLC16A13	8.80645051984394	12.8225374388321	10.0065490223197	9.5916526846411	5.91203090849702
STAG3L3	122.092531719359	88.5613775023792	105.423832076801	99.7637708555103	77.7113319830599
SNHG11	24.8693530348282	5.47788838735304	7.32613506012301	8.09472505076511	3.54185016415004
RALGAPA1	1227.59453597183	595.577521029424	655.97683306633	684.194840583377	589.168445842771
WBSCR16	72.9325552172678	83.6115190457815	98.2590074550941	78.4766322614429	116.593839879331
LIG4	233.675306838852	171.83632304525	167.425426334935	181.185653782923	205.642044758629
